url,strategy,finalUrl,fetchedAt,performance,accessibility,bestPractices,seo,fcpMs,lcpMs,speedIndexMs,totalBlockingTimeMs,cls,interactiveMs,fcp,lcp,speedIndex,totalBlockingTime,clsDisplay,status,error
https://b2bindustrial.in/about,mobile,https://b2bindustrial.in/about,2026-07-14T06:23:57.123Z,98,98,100,100,902,2264,2381,0,0,2265,0.9 s,2.3 s,2.4 s,0 ms,0,success,
https://b2bindustrial.in/about,desktop,https://b2bindustrial.in/about,2026-07-14T06:24:12.050Z,100,98,100,100,262,481,1057,0,0,481,0.3 s,0.5 s,1.1 s,0 ms,0,success,
https://b2bindustrial.in/blog/ai-predictive-maintenance-industrial-plants,mobile,https://b2bindustrial.in/blog/ai-predictive-maintenance-industrial-plants,2026-07-14T06:24:36.445Z,100,96,100,100,902,1215,2030,0,0,1215,0.9 s,1.2 s,2.0 s,0 ms,0,success,
https://b2bindustrial.in/blog/ai-predictive-maintenance-industrial-plants,desktop,https://b2bindustrial.in/blog/ai-predictive-maintenance-industrial-plants,2026-07-14T06:24:51.565Z,99,95,100,100,242,335,1263,0,0.002362586686856879,335,0.2 s,0.3 s,1.3 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/annual-energy-audit-manufacturing,mobile,https://b2bindustrial.in/blog/annual-energy-audit-manufacturing,2026-07-14T06:25:08.281Z,100,94,100,100,901,1211,2388,0,0,1211,0.9 s,1.2 s,2.4 s,0 ms,0,success,
https://b2bindustrial.in/blog/annual-energy-audit-manufacturing,desktop,https://b2bindustrial.in/blog/annual-energy-audit-manufacturing,2026-07-14T06:25:22.766Z,100,93,100,100,242,303,952,0,0.002362586686856879,303,0.2 s,0.3 s,1.0 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/battery-energy-storage-factory-backup,mobile,https://b2bindustrial.in/blog/battery-energy-storage-factory-backup,2026-07-14T06:25:49.417Z,100,96,100,100,901,1211,2227,0,0,1211,0.9 s,1.2 s,2.2 s,0 ms,0,success,
https://b2bindustrial.in/blog/battery-energy-storage-factory-backup,desktop,https://b2bindustrial.in/blog/battery-energy-storage-factory-backup,2026-07-14T06:26:05.176Z,100,95,100,100,241,290,946,0,0.002362586686856879,290,0.2 s,0.3 s,0.9 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/bee-energy-audit-process,mobile,https://b2bindustrial.in/blog/bee-energy-audit-process,2026-07-14T06:26:19.148Z,100,96,100,100,901,901,1942,0,0,901,0.9 s,0.9 s,1.9 s,0 ms,0,success,
https://b2bindustrial.in/blog/bee-energy-audit-process,desktop,https://b2bindustrial.in/blog/bee-energy-audit-process,2026-07-14T06:26:34.701Z,100,95,100,100,241,281,818,0,0.002362586686856879,281,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/cpcb-4-plus-dg-norms,mobile,https://b2bindustrial.in/blog/cpcb-4-plus-dg-norms,2026-07-14T06:26:49.689Z,100,94,100,100,901,901,2163,0,0,901,0.9 s,0.9 s,2.2 s,0 ms,0,success,
https://b2bindustrial.in/blog/cpcb-4-plus-dg-norms,desktop,https://b2bindustrial.in/blog/cpcb-4-plus-dg-norms,2026-07-14T06:27:02.725Z,100,93,100,100,241,251,795,0,0.002362586686856879,251,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/cpcb-emission-monitoring-factories,mobile,https://b2bindustrial.in/blog/cpcb-emission-monitoring-factories,2026-07-14T06:27:17.855Z,100,96,100,100,901,1210,1993,0,0,1210,0.9 s,1.2 s,2.0 s,0 ms,0,success,
https://b2bindustrial.in/blog/cpcb-emission-monitoring-factories,desktop,https://b2bindustrial.in/blog/cpcb-emission-monitoring-factories,2026-07-14T06:27:32.448Z,100,95,100,100,260,260,820,0,0,260,0.3 s,0.3 s,0.8 s,0 ms,0,success,
https://b2bindustrial.in/blog/digital-twins-energy-efficiency,mobile,https://b2bindustrial.in/blog/digital-twins-energy-efficiency,2026-07-14T06:27:48.139Z,100,96,100,100,902,1221,2262,0,0,1221,0.9 s,1.2 s,2.3 s,0 ms,0,success,
https://b2bindustrial.in/blog/digital-twins-energy-efficiency,desktop,https://b2bindustrial.in/blog/digital-twins-energy-efficiency,2026-07-14T06:28:02.172Z,100,95,100,100,242,291,791,0,0.002362586686856879,291,0.2 s,0.3 s,0.8 s,0 ms,0.002,success,
https://b2bindustrial.in/blog/electrical-safety-audit-checklist,mobile,https://b2bindustrial.in/blog/electrical-safety-audit-checklist,2026-07-14T06:28:16.444Z,100,96,100,100,901,1221,2365,0,0,1221,0.9 s,1.2 s,2.4 s,0 ms,0,success,
https://b2bindustrial.in/blog/electrical-safety-audit-checklist,desktop,https://b2bindustrial.in/blog/electrical-safety-audit-checklist,2026-07-14T06:28:39.535Z,99,95,100,100,470,470,1357,0,0,470,0.5 s,0.5 s,1.4 s,0 ms,0,success,
https://b2bindustrial.in/blog/electrical-thermography-importance,mobile,https://b2bindustrial.in/blog/electrical-thermography-importance,2026-07-14T06:29:09.008Z,100,94,100,100,902,1219,2254,0,0,1219,0.9 s,1.2 s,2.3 s,0 ms,0,success,
